Computer_Idn,SystemPerformance_Idn,MemScore,CPUScore,GraphicsScore,GamingScore,DiskScore
6102,5002,8.7,8.7,4.5,9.9,8.2
6103,4977,9.1,9.1,8.1,9.9,8.9
6105,4969,7.5,7.3,6.3,9.9,5.9
6110,5068,8.8,8.8,6.2,9.9,8.9
6117,5042,9.1,9.1,8,9.9,9.2
6118,4975,7.7,7.5,8.1,9.9,8.1
6119,5018,8.2,8.2,5.3,9.9,9.15
6123,5008,8.8,8.8,5.5,9.9,8.1
6127,5019,8.7,8.7,4.8,9.9,8.15
6130,5066,8.7,8.7,4.5,9.9,8.15
6134,5016,9,9,5.9,9.9,8.6
6149,4981,8.3,8.3,6.9,9.9,8.15
6151,5228,9.1,9.1,8,9.9,8.15
6155,5040,8.6,8.6,5.6,9.9,8.2
6157,4985,7.6,7.6,5.2,9.9,8.65
6158,5033,8.8,8.8,6.7,9.9,8.85
6159,5157,9.1,9.1,8,9.9,8.85
6170,5011,8.3,8.3,8,9.9,8.1
6171,5215,7.9,7.7,6.7,9.9,9.2
6173,5074,8.7,8.7,5.4,9.9,8.15
6184,5124,8.7,8.7,4.9,9.9,5.9
6187,5214,8.6,8.6,8.1,9.9,8.1
6191,5004,7.7,7.6,5.5,9.9,8.2
6194,5197,8.6,8.6,5.5,9.9,8.15
6200,5125,8.7,8.7,6.2,9.9,5.9
6204,5108,7.1,7.1,3.9,9.9,8.05
6209,5134,7.9,7.7,6.5,9.9,8.85
6210,5071,9.1,9.1,8.4,9.9,9.05
6212,5094,8.8,8.8,6.7,9.9,8.4
6214,5205,8.4,8.4,6.3,9.9,9.2
6217,5121,8.8,8.8,6.9,9.9,8.15
6224,5106,8.8,8.8,6.8,9.9,9.15
6229,5039,8.8,8.8,6.8,9.9,9.25
6232,5126,7.5,7.3,6.2,9.9,8.2
6236,5049,7.5,7.3,5.9,9.9,8.1
6237,5132,7.6,7.1,6.7,6.7,7.9
6238,5020,8.2,8.2,6.2,9.9,9.2
6239,5021,8.2,8.2,7.5,9.9,8.8
6240,5022,9.1,9.1,8.4,9.9,9
6242,5105,7.9,7.7,6.8,9.9,9
6245,5027,7.7,7.7,5.9,6.9,7.9
6246,5026,7.9,7.7,6.7,9.9,8.95
6248,5028,8.3,8.3,6.3,9.9,9.15
6252,5031,8.3,8.3,6.4,9.9,8.15
6253,5150,7.6,7.6,5.5,9.9,8.95
6258,5045,7.9,7.6,6.3,9.9,8.2
6259,5034,7.9,7.6,6.1,9.9,9
6260,5035,9.1,9.1,7.9,9.9,8.6
6262,5038,9.1,9.1,7.9,9.9,7.8
6263,5103,7.9,7.6,6.9,9.9,8.75
6266,5088,8.7,8.7,6.6,9.9,8.15
6268,5110,8.7,8.7,4.8,9.9,8.15
6272,5041,7.8,7.6,5.9,9.9,8.05
6273,5084,7.4,7,6.5,6.5,7.9
6274,5107,8.8,8.8,6.3,9.9,8.15
6277,5100,9.1,9.1,8.1,9.9,8.1
6278,5050,8.4,8.4,8,9.9,8.7
6281,5140,9,9,8,9.9,9.15
6283,5048,8.4,8.4,5.9,9.9,8.2
6287,5115,9.1,9.1,8,9.9,8.75
6288,5186,8.8,8.8,5.3,9.9,8.15
6290,5092,8.7,8.7,4.9,9.9,8.15
6291,5160,9.1,9.1,7.5,9.9,8.15
6294,5095,5.9,8.6,5.1,9.9,8.1
6297,5101,8.8,8.8,6.7,9.9,9
6299,5120,8.7,8.7,5.2,9.9,8.15
6303,5070,8.8,8.8,6.3,9.9,8.65
6304,5166,7.9,7.5,5.5,9.9,8.15
6306,5090,8.2,8.2,5.5,9.9,8.1
6308,5136,5.9,8.7,4.9,9.9,5.9
6309,5061,9.1,9.1,8,9.9,7.9
6310,5064,9.1,9.1,8.4,9.9,8.6
6311,5111,9.1,9.1,8,9.9,8.2
6313,5193,9.1,9.1,6.9,9.9,8.2
6314,5201,9.1,9.1,8,9.9,8.2
6317,5072,8.4,8.4,5.9,9.9,9.1
6319,5208,9.1,9.1,8.4,9.9,8.1
6324,5230,8.8,8.8,5.3,9.9,8.75
6325,5063,7.5,7.4,5.2,4.7,5.9
6326,5073,7.4,7,5.8,6.4,7.9
6327,5078,8.6,8.6,5.9,9.9,8.15
6330,5179,7.1,6.2,2,9.9,8.1
6334,5178,9.1,9.1,8.4,9.9,8.15
6335,5093,7.6,7.2,6.6,6.6,7.9
6338,5097,8.1,7.7,7.6,9.9,9
6339,5067,7.9,7.6,5.9,9.9,9.05
6340,5128,9.2,9.2,4.6,9.9,8.15
6342,5080,8.8,8.8,8.1,9.9,5.9
6346,5116,9,9,7.8,9.9,8.2
6349,5190,9.1,9.1,8,9.9,8.15
6350,5203,9,9,8,9.9,8.2
6354,5183,8.8,8.8,5.5,9.9,8.2
6356,5079,9,9,8.1,9.9,8.85
6359,5117,7.7,7.6,5.5,9.9,9.1
6360,5081,9.2,9.2,5.2,9.9,8.2
6362,5082,7.5,7.5,6.2,6.2,5.9
6363,5171,8.8,8.8,5.2,9.9,8.1
6365,5083,8.3,8.3,7.9,9.9,8.1
6366,5238,7.5,7.1,6.5,6.5,7.9
6367,5114,9.1,9.1,8.4,9.9,8.55
6370,5109,7.9,7.6,5.4,9.9,8.1
6371,5087,8.1,8.1,6.7,9.9,8.15
6373,5089,7.9,7.7,6.9,9.9,9.3
6393,5200,9,9,6.6,9.9,8.15
6394,5096,7.3,7,6.5,6.5,7.6
6404,5163,7.6,7.4,5.8,9.9,8.1
6410,5233,7.6,7.5,5.9,5.8,7.8
6412,5129,8.5,8.5,8,9.9,9.1
6413,5156,9.2,9.2,5.3,9.9,8.2
