Computer_Idn,Manufacturer,Chipset,NumSlots,FRUGrpIndex,OPGrpIndex,MaxCPU,ProductName,MBVersion,SerialNum,BusSpeed,PCISlots,PCISlotsAvail
2445,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.5B,PEVDQ00WB9S04G,1600,1,1
2446,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.54,PEVDQ00WB8Y1AT,1600,1,1
2450,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.54,PEVDQ00WB8Z0DW,1600,1,1
2455,LENOVO,NULL,NULL,NULL,NULL,2808,20FB002LUS,SDK0J40705 WIN,W1KS6C710AB,1867,0,0
2457,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS66K10A3,1867,0,0
2461,LENOVO,NULL,NULL,NULL,NULL,2594,20BS0031US,0B98417 WIN,W1KS6C2FT02,1600,0,0
2469,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS6AJ1161,1867,0,0
2471,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.54,PEVEA00WB8Q1BJ,1600,1,1
2472,LENOVO,NULL,NULL,NULL,NULL,2808,20FB002LUS,SDK0J40705 WIN,W1KS6C710P8,1867,0,0
2476,LENOVO,NULL,NULL,NULL,NULL,2494,20EF001XUK,SDK0J40705 WIN,W1KS5AY11D9,1600,0,0
2480,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS66K11CK,1867,0,0
2483,Hewlett-Packard,NULL,NULL,NULL,NULL,2401,2216,KBC Version 96.5A,PEVEB00WB9H08Z,1600,1,1
2484,HP,NULL,NULL,NULL,NULL,2592,8079,KBC Version 85.76,PFLCQ00WB470ZX,2133,1,1
2485,HP,NULL,NULL,NULL,NULL,2400,8079,KBC Version 85.6F,PFKZT00WB511NX,2133,1,1
2486,LENOVO,NULL,NULL,NULL,NULL,2808,20FB005WUS,SDK0J40705 WIN,W1KS66K1066,1867,0,0
2491,Dell Inc.,NULL,NULL,NULL,NULL,2927,0F0XJ6,A06,..CN701630C9000F.,1333,0,0
2492,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.54,PEVDQ00WB8Y1DN,1600,1,1
2493,Hewlett-Packard,NULL,NULL,NULL,NULL,2201,2216,KBC Version 96.58,PEVEA00WB8Q0ZD,1600,1,1
2494,LENOVO,NULL,NULL,NULL,NULL,2808,20FB004NUS,SDK0J40697 WIN,W1KS71G10NE,1867,0,0
